x,y,z
21.883,15.514,4.48
21.762,16.221,3.276
20.906,16.179,1.76
19.671,14.896,1.366
18.642,13.42,1.756
17.511,12.408,2.8
16.47,11.617,4.116
15.277,10.992,5.392
14.246,10.361,6.794
21.722,16.856,4.517
21.102,17.927,3.468
19.831,18.141,2.153
18.272,17.294,1.563
17.861,15.521,1.328
17.142,13.886,1.883
16.076,12.834,3.043
15.007,12.003,4.375
14.27,11.055,5.841
21.117,18.186,4.31
20.288,18.849,3.862
18.744,19.192,3.295
17.194,18.749,2.827
16.146,17.492,2.471
15.52,15.927,2.378
15.108,14.368,2.856
14.355,13.291,3.908
13.946,12.093,5.008
14.575,19.595,5.001
13.639,18.54,4.844
13.148,17.198,4.668
13.064,15.763,4.517
13.235,14.327,4.516
13.566,12.939,4.745
13.986,12.017,5.045
14.254,11.239,5.632
14.263,10.58,6.468
14.231,9.918,7.576
14.312,9.34,8.623
14.515,8.821,9.682
14.783,8.479,10.793
19.887,10.9,7.252
20.565,11.621,6.678
20.976,12.351,5.94
21.364,13.17,5.291
21.67,14.09,4.743
21.84,15.096,4.295
21.834,16.136,4.083
21.603,17.196,4.124
21.108,18.145,4.162
20.184,19.122,4.317
19.32,19.673,4.537
18.343,20.018,4.681
17.302,20.126,4.722
16.259,20.023,4.743
15.255,19.727,4.78
14.33,19.244,4.847
13.484,18.548,4.97
12.753,17.67,5.176
12.145,16.729,5.487
11.592,15.812,5.938
11.054,14.993,6.56
10.49,14.312,7.314
9.967,13.733,8.176
9.466,13.23,9.097
12.667,9.99,14.743
12.762,9.321,13.823
13.275,8.805,12.901
13.868,8.491,11.937
14.591,8.451,11.014
15.432,8.626,10.01
16.077,8.928,9.271
16.754,9.27,8.577
17.493,9.629,7.962
18.314,10.024,7.487
19.169,10.497,7.173
19.995,11.068,6.974
20.885,11.966,6.92
21.646,13.199,7.335
22.079,14.457,8.067
22.334,15.646,8.977
22.5,16.679,10.079
22.519,17.611,11.274
22.262,18.445,12.514
21.545,19.088,13.687
20.947,19.393,14.467
20.327,19.282,15.257
21.385,18.932,14.13
21.679,19.726,12.404
21.282,20.26,11.127
20.577,20.76,9.975
19.505,21.264,9.153
18.229,21.642,8.593
16.855,21.781,8.169
15.46,21.652,7.818
14.108,21.246,7.519
12.859,20.554,7.309
11.799,19.58,7.234
10.99,18.386,7.29
10.409,17.074,7.46
10.013,15.721,7.778
9.723,14.403,8.295
9.466,13.23,9.097
9.258,12.445,9.978
9.194,11.85,11.02
9.39,11.37,12.105
9.768,11.206,13.039
19.624,18.8,16.023
18.992,20.666,15.197
18.141,21.674,14.36
17.19,22.411,13.359
15.95,22.808,12.51
14.482,22.816,11.986
12.993,22.51,11.621
11.592,21.888,11.316
10.353,20.963,11.095
9.383,19.742,11.044
8.72,18.33,11.145
8.355,16.816,11.279
8.266,15.263,11.448
8.445,13.74,11.742
8.922,12.326,12.207
9.715,11.211,12.931
10.28,11.044,13.801
10.845,11.191,14.683
11.445,11.571,15.468
12.026,12.166,16.124
12.555,12.791,16.799
12.971,12.772,18.015
14.173,12.104,18.103
15.536,11.891,18.26
16.902,12.109,18.378
18.103,12.786,18.497
18.88,13.86,18.856
19.204,14.9,19.713
12.553,13.227,17.539
12.481,12.581,16.635
12.293,11.705,15.983
12.181,10.818,15.334
12.352,10.022,14.596
13.647,9.034,13.749
14.867,8.693,13.389
16.151,8.591,13.1
17.441,8.699,12.842
18.692,9.04,12.589
19.865,9.603,12.364
20.89,10.422,12.218
21.69,11.473,12.214
22.25,12.665,12.332
22.567,13.936,12.512
22.662,15.23,12.762
22.509,16.487,13.128
22.109,17.627,13.655
21.47,18.614,14.255
20.618,19.419,14.862
19.839,19.495,15.554
19.024,19.048,16.286
18.388,18.438,17.512
17.387,19.106,18.376
15.849,19.375,18.584
14.28,19.172,18.609
12.903,18.417,18.594
12.074,17.161,19.05
